"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Model Period Mean (complement)","MeanState","global","scalar","g/m2/s","0.00455901","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Benchmark Period Mean (intersection)","MeanState","above","scalar","g/m2/s","0.0102603","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Benchmark Period Mean (complement)","MeanState","above","scalar","g/m2/s","0.00341576","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Period Mean (original grids)","MeanState","above","scalar","g/m2/s","0.00503225","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Model Period Mean (intersection)","MeanState","above","scalar","g/m2/s","0.00508556","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Model Period Mean (complement)","MeanState","above","scalar","g/m2/s","0.00335557","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Spatial Distribution Score","MeanState","global","score","1","0.810093","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Spatial Distribution Score","MeanState","above","score","1","0.818187","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Phase Shift","MeanState","global","scalar","months","1.13307","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Seasonal Cycle Score","MeanState","global","score","1","0.851219","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Phase Shift","MeanState","above","scalar","months","0.260977","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Seasonal Cycle Score","MeanState","above","score","1","0.981701","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Bias","MeanState","global","scalar","g/m2/s","-0.00505788","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Bias Score","MeanState","global","score","1","0.629985","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Bias","MeanState","above","scalar","g/m2/s","-0.00517478","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Bias Score","MeanState","above","score","1","0.657031","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","RMSE","MeanState","global","scalar","g/m2/s","0.00811262","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","RMSE Score","MeanState","global","score","1","0.598829","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","RMSE","MeanState","above","scalar","g/m2/s","0.00779991","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","RMSE Score","MeanState","above","score","1","0.617389","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Overall Score","MeanState","global","score","1","0.697791","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","LPX-Bern","Overall Score","MeanState","above","score","1","0.73834","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Benchmark Period Mean (intersection)","MeanState","global","scalar","g/m2/s","0.0172314","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Benchmark Period Mean (complement)","MeanState","global","scalar","g/m2/s","0.00293991","1.0"
